第15任總統副總統選舉候選人在臺北市各村(里)得票數一覽表,,,,,,,,,,,,
行政區別,村里別,各組候選人得票情形,,,"有效票數A
A=1+2+...+N",無效票數B,"投票數C
C=A+B","已領未投票數
D
D=E-C","發出票數E
E=C+D",用餘票數F,"選舉人數G
G=E+F","投票率H
H=C÷G"
,,"(1)
宋楚瑜
余湘","(2)
韓國瑜
張善政","(3)
蔡英文
賴清德",,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,南湖里,165,"1,522","1,786","3,473",52,"3,525",0,"3,525",990,"4,515",78.0731
　士林區,,"7,185","65,183","104,881","177,249","2,020","179,269",24,"179,293","55,632","234,925",76.3090
,天母里,175,"1,810","2,215","4,200",60,"4,260",0,"4,260","1,344","5,604",76.0171
,三玉里,141,"1,500","2,162","3,803",59,"3,862",0,"3,862","1,127","4,989",77.4103
,天福里,175,"1,621","2,267","4,063",51,"4,114",0,"4,114","1,233","5,347",76.9403
,天祿里,149,"1,244","2,002","3,395",39,"3,434",5,"3,439","1,039","4,478",76.6860
,天壽里,134,"1,346","1,743","3,223",47,"3,270",0,"3,270","1,022","4,292",76.1883
,天山里,142,"1,931","2,396","4,469",53,"4,522",0,"4,522","1,438","5,960",75.8725
,天和里,186,"1,984","2,637","4,807",47,"4,854",1,"4,855","1,545","6,400",75.8438
,天玉里,217,"2,238","3,038","5,493",60,"5,553",0,"5,553","1,790","7,343",75.6230
,德行里,144,"1,122","1,682","2,948",23,"2,971",0,"2,971",823,"3,794",78.3079
,德華里,158,"1,308","2,230","3,696",43,"3,739",0,"3,739","1,076","4,815",77.6532
,忠誠里,138,"1,925","1,609","3,672",37,"3,709",0,"3,709","1,111","4,820",76.9502
,蘭雅里,246,"2,242","3,230","5,718",58,"5,776",1,"5,777","1,731","7,508",76.9313
,蘭興里,173,"1,587","2,387","4,147",49,"4,196",0,"4,196","1,249","5,445",77.0615
,仁勇里,90,837,"1,549","2,476",30,"2,506",0,"2,506",804,"3,310",75.7100
,義信里,65,792,"1,170","2,027",31,"2,058",0,"2,058",717,"2,775",74.1622
,福林里,75,794,"1,068","1,937",30,"1,967",0,"1,967",611,"2,578",76.2995
,福德里,133,"1,267","1,638","3,038",29,"3,067",1,"3,068","2,126","5,194",59.0489
,福志里,209,"2,257","2,626","5,092",68,"5,160",9,"5,169","1,394","6,563",78.6226
,舊佳里,148,"1,492","2,454","4,094",36,"4,130",0,"4,130","1,274","5,404",76.4249
,福佳里,214,"1,859","2,938","5,011",59,"5,070",0,"5,070","1,470","6,540",77.5229
,後港里,224,"1,727","3,292","5,243",60,"5,303",0,"5,303","1,685","6,988",75.8872
,福中里,193,"1,424","2,773","4,390",47,"4,437",1,"4,438","1,270","5,708",77.7330
,前港里,133,946,"1,813","2,892",39,"2,931",2,"2,933",853,"3,786",77.4168
,百齡里,212,"1,490","2,928","4,630",39,"4,669",1,"4,670","1,284","5,954",78.4179
